term,estimate,std.error,statistic,p.value
(Intercept),0.03,0.48,0.07,0.95
FSAdiff,-0.19,0.25,-0.76,0.45
treatmentNutriCouleur,-0.85,0.77,-1.11,0.27
treatmentNutriMark,-0.4,0.77,-0.52,0.6
treatmentNutriRepère,0.69,0.73,0.94,0.35
treatmentNutriScore,-0.46,0.83,-0.55,0.58
treatmentSENS,0.34,0.73,0.47,0.64
FSAdiff:treatmentNutriCouleur,-0.02,0.34,-0.07,0.95
FSAdiff:treatmentNutriMark,-0.13,0.31,-0.41,0.68
FSAdiff:treatmentNutriRepère,-0.03,0.35,-0.1,0.92
FSAdiff:treatmentNutriScore,0.07,0.3,0.24,0.81
FSAdiff:treatmentSENS,0.02,0.33,0.07,0.94
