var,Benchmark,NutriCouleur,NutriMark,NutriRepère,NutriScore,SENS
difference,-0.3,-0.6,-0.6,0,-0.3,-0
"mean # products, caddy 1",21.2,18.2,19.8,19.9,17.9,19.4
"mean # products, caddy 2",21,17.6,19.2,19.9,17.5,19.4
mean entry,5.3,3.71,4.64,5.54,4.44,4.27
mean exit,5.63,4.23,4.99,5.25,4.94,4.22
% difference,-49.63,-81.65,-82.23,-92.25,-82.18,-68.94
"Average number of ingredeints views, Basket 1",1.06,1.9,0.9,1.18,0.88,1.45
"Average number of ingredeints views, Basket 2",0.53,0.35,0.16,0.09,0.16,0.45
% difference,-31.73,-90.84,-72.17,-91.67,-69.7,-37.04
"Average number of nutrition table views, Basket 1",0.64,1.14,0.48,0.77,0.57,0.73
"Average number of nutrition table views, Besket 2",0.43,0.1,0.13,0.06,0.17,0.46
